Movie_Name,Year,Rating
The Autobiography of Miss Jane Pittman,1973,3
The Avengers,1998,2
The Bad News Bears,1976,3
The Bad and the Beautiful,1952,3
The Ballad of Jack and Rose,2005,2
The Battle of Algiers,1965,4
The Best Little Whorehouse in Texas,1982,3
The Best of Friends: Season 1,1994,4
The Best of Friends: Season 2,1994,4
The Best of Friends: Vol. 4,1994,4
The Big Blue,1988,3
The Big Hit,1998,3
The Big One,1998,3
The Big Red One: Special Edition,1980,3
The Big Tease,1999,3
The Blind Swordman: Zatoichi,2003,3
The Blob,1988,2
The Blues Brothers: Extended Cut,1980,4
The Bourne Supremacy,2004,3
The Boxer,1997,3
The Brady Bunch Movie,1995,2
The Brothers,2001,3
The Brothers McMullen,1995,3
The Caine Mutiny,1954,3
The Caveman's Valentine,2001,3
The Center of the World,2001,2
The Chorus,2004,4
The Closet,2000,3
The Color of Money,1986,3
The Comancheros,1961,3
The Commitments,1991,3
The Computer Wore Tennis Shoes,1969,3
The Cookout,2004,2
The Cowboys,1972,3
The Cutting Edge,1992,3
The Dangerous Lives of Altar Boys,2002,3
The Day of the Jackal,1973,3
The Dead Zone,1983,3
The Dead Zone: Season 2,2002,4
The Deal,2004,2
The Deer Hunter,1978,3
The Desert Fox,1951,3
The Devil's Backbone,2001,3
The Devil's Brigade,1968,3
The Devil's Own,1997,3
The Door in the Floor,2004,3
The Duellists,1977,3
The Education of Little Tree,1997,3
The Emperor's New Groove,2000,3
The Enforcer,1976,3
The Enforcer,1995,3
The English Patient,1996,3
The Fabulous Baker Boys,1989,3
The Faculty,1998,3
The Family Man,2000,3
The Fan,1981,2
The Fighting Seabees,1944,3
The Final Countdown,1980,3
The Final Cut,2004,2
The Flintstones,1994,2
The Flintstones in Viva Rock Vegas,2000,2
The Flying Tigers,1942,3
The Fortune Cookie,1966,3
The Full Monty,1997,3
The Game,1997,3
The Ghost and Mr. Chicken / The Reluctant Astronaut: Double Feature,1966,3
The Ghost and Mrs. Muir,1947,3
The Ghost and the Darkness,1996,3
The Glass Menagerie,1973,3
The Godfather,1974,4
The Golden Girls: Season 1,1985,3
The Great Gatsby,2000,3
The Great Race,1965,3
The Green Berets,1968,3
The Grifters,1990,3
The Hand that Rocks the Cradle,1992,3
The Hebrew Hammer,2003,2
The Hitcher,1984,3
The Hitchhiker's Guide to the Galaxy,1981,3
The Hitchhiker's Guide to the Galaxy,2005,3
The Hole,2001,3
The Horse Soldiers,1959,3
The Hunchback of Notre Dame,1999,3
The Hunchback of Notre Dame II,2001,3
The Hunger,1983,3
The Hurricane,1999,3
The Hustler,1961,4
The Ice Storm,1997,3
The Importance of Being Earnest,2002,3
The Impostors,1998,3
The In-Laws,1979,3
The In-Laws,2003,3
The Incredibly True Adventure of 2 Girls in Love,1995,3
The Invisible Circus,2001,2
The Italian Job,2003,3
The Kids in the Hall: Season 1,1989,4
The Killing,1956,3
The King and I,1956,3
The King of Queens: Season 2,1998,3
The L Word: Season 2,2005,4
The Lady Eve,1941,3
The Ladykillers,2004,2
The Lair of the White Worm,1988,2
The Land Before Time VII: Stone of Cold Fire,2000,3
The Laramie Project,2002,3
The Last American Virgin,1982,3
The Last Dragon,1985,3
The Last House on the Left,1972,2
The Last Samurai,2003,3
The Last Seduction,1994,3
The Last Shot,2004,2
The Last Supper,1996,3
The Last Temptation of Christ,1988,3
The Lawnmower Man,1992,2
The Legend,1993,3
The Legend 2,1993,3
The Librarian: Quest for the Spear,2004,3
The Life & Death of Peter Sellers,2004,3
The Life Aquatic with Steve Zissou,2004,3
The Limey,1999,3
The Lion King: Special Edition,1994,4
The Little Princess,1939,3
The Lonely Guy,1984,3
The Long Walk Home,1990,3
The Longest Day,1962,3
The Longest Yard,1974,3
The Looney Tunes Golden Collection: Vol. 1,2003,3
The Looney Tunes Golden Collection: Vol. 2,2004,4
The Lord of the Rings,1978,3
The Love Letter,1999,2
The Magdalene Sisters,2002,3
The Maltese Falcon,1941,4
The Man Who Cried,2000,3
The Man Who Knew Too Much,1934,3
The Man Without a Face,1993,3
The Mark of Zorro,1920,3
The Mask: Special Edition,1994,3
The Matrix: Reloaded,2003,3
The Matrix: Revolutions,2003,3
The Mighty,1998,3
The Mirror Has Two Faces,1996,3
The Missing,2003,3
The Mists of Avalon,2001,3
The Mothman Prophecies,2002,3
The Motorcycle Diaries,2004,3
The Mouse That Roared,1959,3
The Mummy,1999,3
The Muse,1999,2
The Night of the Hunter,1955,3
The O.C.: Season 1,2003,4
The Odd Couple,1968,3
The Omen,1976,3
The Onion Field,1979,3
The Opposite of Sex,1998,3
The Original Latin Kings of Comedy,2002,3
The Osbournes: Season 1 (Uncensored),2002,3
The Other Side of Heaven,2001,3
The Others,2001,3
The Pacifier,2005,3
The Pagemaster,1994,2
The Parent Trap,1998,3
The Party,1968,3
The Passion of the Christ,2004,3
The People vs. Larry Flynt,1996,3
The Perfect Storm,2000,3
The Phantom of the Opera: Special Edition,2004,3
The Pianist,2002,4
The Piano,1993,3
The Pledge,2001,3
The Pope of Greenwich Village,1984,3
The Poseidon Adventure,1972,3
The Postman Always Rings Twice,1946,3
The Powerpuff Girls Movie,2002,3
The Prime of Miss Jean Brodie,1969,3
The Prince of Tides,1991,3
The Princess Diaries (Fullscreen),2001,4
The Professional,1994,4
The Program,1993,3
The Prophecy 2,1998,3
The Queens of Comedy,2000,3
The Quest,1996,3
The Quiet Man,1952,3
The Rage: Carrie 2,1999,3
The Recruit,2003,3
The Replacement Killers,1998,3
The Return,2003,3
The Return of the Living Dead,1985,3
The Road to Wellville,1994,2
The Rocky Horror Picture Show,1975,3
The Rookie,1990,3
The Rundown,2003,3
The Russians Are Coming,1966,3
The Saddest Music in the World,2004,2
The Sandlot,1993,3
The Sandlot 2,2005,3
The Santa Clause,1994,3
The Santa Clause 2,2002,3
The Scent of Green Papaya,1993,3
The Scorpion King,2002,3
The Secret Garden,1993,3
The Serpent and the Rainbow,1988,3
The Seventh Seal,1957,3
The Seventh Sign,1988,3
The Shadow,1994,3
The Shop Around the Corner,1940,3
The Silence of the Lambs,1991,4
The Simpsons: Bart Wars,1999,4
The Simpsons: Season 1,1989,4
The Simpsons: Season 3,1991,4
The Simpsons: Season 6,1994,4
The Simpsons: Treehouse of Horror,1990,4
The Sixth Sense,1999,4
The Sleeping Dictionary,2001,3
The Snapper,1993,3
The Song of Bernadette,1943,3
The Spanish Prisoner,1997,3
The Stand,1994,3
The Sting,1973,4
The Story of O,1975,2
The Story of Us,1999,3
The Substitute/The Substitute 3,1999,2
The Sum of All Fears,2002,3
The Talented Mr. Ripley,1999,3
The Taming of the Shrew,1967,3
The Thing From Another World,1951,3
The Third Man,1949,3
The Thomas Crown Affair,1968,3
The Three Musketeers,2004,3
The Three Stooges: Merry Mavericks,1951,3
The Three Stooges: Nutty but Nice,1940,3
The Three Stooges: Sing a Song of Six Pants,1947,3
The Tick: The Entire Series,2001,3
The Toxic Avenger,1985,3
The Toy,1982,3
The Trip,2002,3
The Trouble With Harry,1955,3
The Trouble with Angels,1966,3
The Truth About Charlie / Charade,2002,2
The Tuskegee Airmen,1995,3
The Twilight Samurai,2002,4
The Twilight Zone: Vol. 12,1962,4
The Twilight Zone: Vol. 15,1963,4
The Twilight Zone: Vol. 16,1963,3
The Twilight Zone: Vol. 19,1960,4
The Twilight Zone: Vol. 25,1964,3
The Twilight Zone: Vol. 27,1964,4
The Twilight Zone: Vol. 3,1962,4
The Twilight Zone: Vol. 33,1968,4
The Twilight Zone: Vol. 36,1961,4
The Twilight Zone: Vol. 37,1961,4
The Twilight Zone: Vol. 39,1960,4
The Twilight Zone: Vol. 41,1960,4
The Twilight Zone: Vol. 42,1962,4
The Two Jakes,1990,3
The Unsinkable Molly Brown,1964,3
The Vanishing,1993,3
The Vikings,1958,3
The Village,2004,3
The War Room,1993,3
The Warriors,1979,3
The Wash,2001,2
The Way We Were,1973,3
The Weather Underground,2002,3
The Wedding Planner,2001,3
The West Wing: Season 3,2001,4
The Wind and the Lion,1975,3
The Wire: Season 1,2003,4
The Wizard of Oz: Collector's Edition,1939,4
The Woman in Red,1984,2
The Women,1939,3
The X-Files: Season 9,2001,4
Thief,1981,3
Thin Line Between Love & Hate,1996,3
Things to Do in Denver When You're Dead,1995,3
Thirteen,2003,3
This Is My Father,1999,3
This Is Spinal Tap,1984,3
Three Days of the Condor,1975,3
Three Men and a Little Lady,1990,3
Three Musketeers,1993,3
Three to Tango,1999,3
Threesome,1994,3
Thunderheart,1992,3
Tightrope,1984,3
Time Bandits,1981,3
Tin Men,1987,3
Titan A.E.,2000,3
Titanic,1953,3
To Catch a Thief,1955,4
To End All Wars,2001,3
To Gillian on her 37th Birthday,1996,3
To Have and Have Not,1944,4
Todd McFarlane's Spawn,1997,3
Together,2002,3
Top Secret!,1984,3
Torch Song Trilogy,1988,3
Town & Country,2001,2
Training Day,2001,3
Trainspotting,1995,3
Trapped,2002,3
Trees Lounge,1996,3
Trekkies,1999,3
Tremors 4: The Legend Begins,2004,3
Trigun,1999,3
True Colors,1991,3
Tuck Everlasting,2002,3
Tupac: Resurrection,2003,3
Turbulence,1997,2
Twin Dragons,1999,3
Two Can Play That Game,2001,3
Two Girls and a Guy,1998,2
Two Mules for Sister Sara,1970,3
U.S. Marshals,1998,3
U2: Go Home: Live From Slane Castle,2002,3
Uncovered: The Whole Truth About the Iraq War,2003,3
Under Siege,1992,3
Under Siege 2: Dark Territory,1995,3
Under Suspicion,2000,3
Undercover Blues,1993,3
Undertow,2004,2
Undisputed,2002,3
Unforgettable,1996,3
Universal Soldier,1992,3
Unleashed,2005,3
Unprecedented: The 2000 Presidential Election,2002,3
Untamed Heart,1993,3
Up at the Villa,2000,2
Uprising,2001,3
Upstairs,1973,4
Uptown Girls,2003,3
Urban Cowboy,1980,3
Used Cars,1980,3
V: The Complete TV Series,1983,3
Valentine,2001,2
Vampires,1998,3
Van Helsing: The London Assignment,2004,3
VeggieTales Classics: Rack,1995,3
VeggieTales Classics: Where's God When I'm Scared?,2004,4
VeggieTales: Dave and the Giant Pickle,2004,4
VeggieTales: Esther,2000,3
VeggieTales: The Ballad of Little Joe,2003,3
Velvet Goldmine,1998,3
Viva La Bam: Season 1,2003,3
Voices of Iraq,2004,3
Von Ryan's Express,1965,3
Waking Up in Reno,2002,2
Walkabout,1971,3
Walking Tall,1973,3
Walking and Talking,1996,3
Walking with Dinosaurs,1999,3
Wallace & Gromit in Three Amazing Adventures,2001,4
War Games,1983,3
Wayne's World,1992,3
Westworld,1973,3
Whale Rider,2003,3
What Women Want,2000,3
What the #$*! Do We Know!?,2004,3
What's Up,1966,3
When Harry Met Sally,1989,3
Where Eagles Dare,1968,3
Where the Red Fern Grows,2003,3
While You Were Sleeping,1995,3
White,1994,3
White Squall,1996,3
Who Framed Roger Rabbit?: Special Edition,1988,3
Who is Cletis Tout?,2002,3
Wild Things,1998,3
Wings of Desire,1987,3
Winnie the Pooh: Springtime with Roo,2004,3
With a Friend Like Harry,2000,3
Without a Trace: Season 1,2002,3
Wolf,1994,3
Woman Thou Art Loosed,2004,3
Woman of the Year,1942,3
Woman on Top,2000,3
Wonder Boys,2000,3
Wonderfalls: The Complete Series,2004,4
Wrongfully Accused,1998,3
X2: X-Men United,2003,3
Xena: Warrior Princess: Season 3,1995,3
Xena: Warrior Princess: Series Finale,2001,2
Y Tu Mama Tambien,2001,3
Yellow Submarine,1968,3
Yi Yi,2000,3
Yojimbo,1961,4
Young Black Stallion,2003,3
Youngblood,1986,3
Yu-Gi-Oh!: The Movie,2004,3
Zorro,1981,3
